39;Sat Nov 29 00:58:45 CET 2014;@CNBC  2/2.. When the fight against ISIS becomes worldwide, I wouldn't blame Russia for standing back, watching.   @richardcalhoun
40;Sat Nov 29 00:58:43 CET 2014;RT @brontyman: 900 Austrian Police Raid Mosques and Homes in Terrorist Search http://t.co/eDgL890JyT via @NBCNews
41;Sat Nov 29 00:58:41 CET 2014;@islamuk1 please lets get this signed and shared for John Cantlie, two year prisoner of ISIS http://t.co/Z2jMMLMaBh
42;Sat Nov 29 00:58:37 CET 2014;RT: Lets get rid of the #ISIS threat - #killisisninjas #ISISmediaBlackout #ISISGang #skynews #CNN #itvnews #bbcne... http://t.co/6wDmXb2kYf
43;Sat Nov 29 00:58:33 CET 2014;RT @UWConfessions: People from Minnesota support ISIS. #MinnesotaHateWeek
44;Sat Nov 29 00:58:32 CET 2014;ISIS supports Ferguson protesters and pledge to send over soldiers | Daily Mail Online http://t.co/ILA3ULnS8K
45;Sat Nov 29 00:58:31 CET 2014;RT @DovLieber: #Syria says US-led strikes have not weakened #Islamic State
#ISIS http://t.co/xMJ8iO9aEd http://t.co/hWKNym3GMu
46;Sat Nov 29 00:58:30 CET 2014;@a1985mtr How to prevent #isis from obeying radical #imams? http://t.co/X938eXgPz1
47;Sat Nov 29 00:58:29 CET 2014;Iraqi News is reporting that Baghdadi is in Mosul with 200 foreign daeshbags. Drones/jets over the city. http://t.co/0L7qMyL67l
48;Sat Nov 29 00:58:26 CET 2014;Some concerning insights to favored views for ISIS : http://t.co/P1gpZUz8E5
49;Sat Nov 29 00:58:25 CET 2014;@WrathOfTemplar please lets get this signed and shared for John Cantlie, two year prisoner of ISIS http://t.co/Z2jMMLMaBh
50;Sat Nov 29 00:58:23 CET 2014;RT @Proud___Papa: #YPG forces ambushed & killed #ISIS emir Abu  Khansaa & bodyguards in #Kobane #AnotherOneBitesTheDust
51;Sat Nov 29 00:58:22 CET 2014;RT @confusion8888: #Turkey: #ISIS Supply Channels . http://t.co/354cqaiLv1
52;Sat Nov 29 00:58:21 CET 2014;With my bestie isis ??
53;Sat Nov 29 00:58:17 CET 2014;@FOSISWalesWest please lets get this signed and shared for John Cantlie, two year prisoner of ISIS http://t.co/Z2jMMLMaBh
54;Sat Nov 29 00:58:16 CET 2014;US launches 15 air strikes as Syria minister says Isis campaign will not work - The Guardian http://t.co/IWS0LJWLR3
55;Sat Nov 29 00:58:14 CET 2014;RT @rConflictNews: #ISIS fighter tries to disguise himself as a #Peshmerga, but got caught via @salar_dd 

http://t.co/2AYg1r0F6F
56;Sat Nov 29 00:58:13 CET 2014;RT @TarekFatah: Support for #ISIS stronger in Arabic social media in Europe (and Pakistan) than in Syria/Iraq. http://t.co/cPY5XSDpNz http:…
57;Sat Nov 29 00:58:12 CET 2014;@bestbuy what's up with not accepting @Apple Pay? It's better than Isis.
58;Sat Nov 29 00:58:08 CET 2014;@fosismidlands please lets get this signed and shared for John Cantlie, two year prisoner of ISIS http://t.co/Z2jMMLMaBh
59;Sat Nov 29 00:58:08 CET 2014;Obama to Assad: Stop Bombing ISIS and Let Us Bomb Civilians http://t.co/M38QPBSEzo
60;Sat Nov 29 00:58:05 CET 2014;RT @PoppyDouglass: @Hevallo lets get this signed and shared for John Cantlie, two year prisoner of ISIS http://t.co/Z2jMMLMaBh
61;Sat Nov 29 00:58:04 CET 2014;RT @PissorVinegar: ISIS swears vengeance on Toy Show Drone Strike.
62;Sat Nov 29 00:58:00 CET 2014;Just done a prayer asking God to stop ISIS, so probably by the end of the weekend it'll all be sorted.
63;Sat Nov 29 00:57:59 CET 2014;RT @bluware_ron: @ophidianpilot @DRUDGE if you see 6 jihadists , do you shoot all 6 or wait until you see an ISIS flag, or wait for the nex…
64;Sat Nov 29 00:57:58 CET 2014;RT @ISISbaqiya: Isn't it ironic how ISIS is trying to show support for the African American's in the US while having slaves in their own la…
65;Sat Nov 29 00:57:58 CET 2014;@anjemchoudary_ please lets get this signed and shared for John Cantlie, two year prisoner of ISIS http://t.co/Z2jMMLMaBh
